Date,Open,High,Low,Close,Adj Close,Volume
2022-01-25,69.480522,71.623375,68.870132,69.837662,68.468086,26347214
2022-01-26,69.857140,70.818184,68.525970,70.090912,68.716362,16978698
2022-01-27,70.129868,72.064934,69.025970,70.331169,68.951912,19463367
2022-01-28,70.181816,70.909088,67.863632,68.584412,67.239410,16372787
2022-02-07,71.779221,74.610390,71.396103,71.733765,70.326996,27740457
2022-02-08,71.168831,74.623375,69.857140,74.350647,72.892563,24672603
2022-02-09,73.896103,79.357140,73.448051,77.980522,76.451256,35791019
2022-02-10,78.610390,82.142860,78.454544,80.961037,79.373314,28200977
2022-02-11,80.948051,82.071426,78.350647,78.376625,76.839584,18496136
2022-02-14,77.922073,81.818184,77.701302,79.532471,77.972763,18828611
2022-02-15,79.285713,80.207794,77.207794,79.805191,78.240135,16811226
2022-02-16,80.077919,80.766235,79.045456,79.389610,77.832703,9588238
2022-02-17,78.766235,80.019478,78.311691,79.012985,77.463470,10016090
2022-02-18,80.129868,82.370132,77.292206,81.285713,79.691628,18669196
2022-02-21,84.415581,84.577919,81.363632,81.564934,79.965370,20633032
2022-02-22,80.493507,80.766235,78.376625,78.948051,77.399811,12154762
2022-02-23,77.922073,79.610390,77.915581,78.571426,77.030571,12792036
2022-02-24,77.922073,78.571426,74.941559,76.000000,74.509575,16132319
2022-02-25,76.038963,81.909088,76.038963,81.889610,80.283676,27877098
2022-02-28,81.493507,84.214287,80.824677,83.948051,82.301750,22181802
2022-03-01,83.766235,83.935066,82.051949,82.532471,80.913933,10030264
2022-03-02,81.948051,82.370132,80.396103,80.961037,79.373314,9576693
2022-03-03,84.058441,84.090912,80.961037,81.480522,79.882614,13377060
2022-03-04,81.818184,84.415581,81.175323,83.344154,81.709702,17620852
2022-03-07,83.071426,83.071426,78.961037,79.175323,77.622620,18320335
2022-03-08,77.922073,79.636360,75.571426,75.662338,74.178528,16509537
2022-03-09,75.584412,77.915581,74.012985,77.201302,75.687309,14057535
2022-03-10,79.610390,79.987015,76.629868,77.519478,75.999252,15158149
2022-03-11,75.331169,79.896103,71.428574,79.220779,77.667191,33352280
2022-03-14,78.363632,80.753242,76.616882,78.019478,76.489449,22149216
2022-03-15,79.922073,84.415581,79.220779,81.324677,79.729828,44977934
2022-03-16,81.331169,86.285713,79.785713,85.097404,83.428566,42079266
2022-03-17,86.883118,93.051949,86.883118,90.818184,89.037155,48069641
2022-03-18,90.000000,91.844154,88.675323,90.623375,88.846169,25705168
2022-03-21,91.935066,93.168831,89.610390,91.811691,90.011177,23668170
2022-03-22,90.909088,91.558441,86.532471,87.194801,85.484833,23939706
2022-03-23,88.311691,88.311691,85.129868,87.370132,85.656723,18647741
2022-03-24,86.493507,92.584412,85.844154,91.753242,89.953880,28467714
2022-03-25,90.896103,92.032471,87.662338,89.032471,87.286461,15559460
2022-03-28,87.012985,89.707794,86.688309,88.051949,86.325165,13141665
2022-03-29,88.311691,90.240257,87.396103,89.610390,87.853043,13082239
2022-03-30,89.603897,89.733765,87.402596,88.311691,86.579819,14980887
2022-03-31,90.259743,92.681816,88.324677,89.610390,87.853043,18852267
2022-04-01,88.688309,89.077919,86.233765,86.987015,85.281120,15896251
2022-04-06,87.662338,89.201302,86.363632,88.584412,86.847191,11280045
2022-04-07,87.662338,88.305191,85.519478,85.792206,84.109741,11122822
2022-04-08,85.876625,87.376625,84.467529,85.000000,83.333076,10495555
2022-04-11,87.597404,91.168831,86.233765,90.532471,88.757050,32852399
2022-04-12,90.551949,91.688309,88.870132,90.779221,88.998955,18424159
2022-04-13,89.571426,90.649353,87.668831,87.779221,86.057793,12563018
2022-04-14,89.285713,89.467529,71.396103,75.324677,73.847488,85072105
2022-04-15,75.032471,78.344154,73.376625,75.311691,73.834755,34287687
2022-04-18,75.324677,76.493507,72.331169,73.688309,72.243210,24452876
2022-04-19,73.571426,73.688309,68.798698,70.954544,69.563065,39847085
2022-04-20,70.954544,71.805191,69.454544,69.798698,68.429886,17604117
2022-04-21,69.155846,70.649353,67.649353,67.857140,66.526405,14234366
2022-04-22,67.532471,67.714287,65.714287,66.214287,64.915764,15887106
2022-04-25,66.363632,66.363632,60.512985,60.525974,59.339005,26882675
2022-04-26,60.974026,63.168831,60.649349,61.792206,60.580406,21625211
2022-04-27,61.032467,63.383118,59.610390,63.285713,62.044621,24400971
2022-04-28,64.610390,64.610390,60.032467,60.857143,59.663681,23791284
2022-04-29,60.448051,61.909088,57.136364,61.363636,60.160240,43788709
2022-05-05,60.714287,64.415581,59.987011,63.636364,62.388397,29215181
2022-05-06,62.337662,63.954544,61.831169,62.129871,60.911449,15088180
2022-05-09,62.123375,64.123375,61.558441,63.525974,62.280170,11973934
2022-05-10,62.857143,63.980518,62.337662,63.285713,62.044621,13087138
2022-05-11,64.012985,68.506493,63.051949,66.220779,64.922134,30483759
2022-05-12,65.000000,67.532471,64.629868,65.948051,64.654755,13931294
2022-05-13,66.766235,66.818184,63.636364,64.123375,62.865856,16922574
2022-05-16,64.597404,64.733765,62.766232,62.779221,61.548061,11038116
2022-05-17,62.928570,62.974026,60.181816,60.584415,59.396297,23375100
2022-05-18,60.376621,61.220779,59.487011,60.655846,59.466328,13503605
2022-05-19,60.000000,60.590908,58.590908,59.623375,58.454109,15708876
2022-05-20,60.714287,62.246754,59.870129,60.110390,58.931572,22235899
2022-05-23,61.025974,61.954544,60.597401,61.525974,60.319393,20354144
2022-05-24,61.493507,61.493507,57.889610,57.922077,56.786171,24679809
2022-05-25,57.733765,58.766232,57.337662,58.214287,57.072655,11367017
2022-05-26,58.227272,58.493507,55.649349,56.103897,55.003647,21199693
2022-05-27,56.493507,56.876621,54.577923,55.000000,53.921398,28674351
2022-05-30,54.974026,55.551949,53.948051,55.519482,54.430691,20018204
2022-05-31,55.584415,56.876621,54.714287,56.675323,55.563869,26142383
2022-06-01,56.525974,57.272728,55.961037,56.376621,55.271023,16181657
2022-06-02,56.012985,56.616882,54.045452,54.935062,53.857735,25841229
