Date,Close/Last,Volume,Open,High,Low
11/03/2021,$295.41,2416766,$293.53,$296.95,$282.78
11/02/2021,$289.48,2469792,$282.08,$290.79,$276.37
11/01/2021,$274.32,1798695,$282.00,$282.90,$269.235
10/29/2021,$278.73,1462567,$283.75,$284.85,$273.00
10/28/2021,$283.98,1468457,$282.50,$288.71,$277.10
10/27/2021,$278.77,1914274,$294.54,$297.95,$277.84
10/26/2021,$292.39,2272378,$295.51,$304.35,$290.63
10/25/2021,$294.92,2852958,$278.6765,$295.51,$278.6765
10/22/2021,$278.34,3558919,$294.78,$295.815,$268.05
10/21/2021,$286.36,2558793,$276.60,$286.799,$275.03
10/20/2021,$269.42,2029221,$268.73,$273.97,$265.0001
10/19/2021,$262.85,3854495,$273.00,$282.00,$262.00
10/18/2021,$261.09,2011888,$245.34,$261.13,$245.03
10/15/2021,$247.68,1654029,$252.80,$252.80,$245.28
10/14/2021,$250.33,1710632,$253.13,$257.34,$249.00
10/13/2021,$249.40,1440038,$247.07,$250.98,$244.50
10/12/2021,$243.77,1292000,$247.73,$248.42,$240.13
10/11/2021,$243.02,1244361,$244.00,$251.05,$240.97
10/08/2021,$245.95,1916118,$252.03,$257.8999,$243.20
10/07/2021,$246.57,2585488,$235.80,$252.59,$232.06
10/06/2021,$236.14,2434175,$246.96,$248.54,$233.75
10/05/2021,$250.12,2038466,$253.952,$258.00,$248.92
10/04/2021,$248.90,3718960,$234.93,$252.37,$233.50
10/01/2021,$254.79,6885350,$251.00,$259.24,$230.0301
09/30/2021,$272.99,2639207,$278.14,$282.50,$268.83
09/29/2021,$277.44,2776305,$287.00,$292.81,$275.58
09/28/2021,$276.52,5854394,$293.70,$296.90,$275.00
09/27/2021,$307.09,4089349,$335.361,$338.50,$305.51
09/24/2021,$333.48,2603105,$350.00,$350.92,$332.40
09/23/2021,$352.99,2824358,$343.00,$360.00,$341.44
09/22/2021,$339.26,1480023,$342.803,$344.57,$336.69
09/21/2021,$341.35,2455420,$344.77,$349.93,$337.04
09/20/2021,$339.01,3322067,$341.205,$353.64,$333.36
09/17/2021,$359.18,5646240,$370.74,$370.80,$344.81
09/16/2021,$372.65,4606777,$350.39,$374.85,$345.00
09/15/2021,$355.25,4545812,$338.11,$357.76,$337.50
09/14/2021,$334.88,2850043,$326.17,$345.92,$326.03
09/13/2021,$327.14,3963817,$348.191,$351.91,$322.47
09/10/2021,$349.19,3037842,$360.00,$363.30,$347.50
09/09/2021,$351.38,3210677,$338.29,$353.48,$336.68
09/08/2021,$336.24,2354633,$346.21,$352.81,$335.26
09/07/2021,$346.61,2482234,$334.54,$347.98,$332.2949
09/03/2021,$334.30,2240824,$328.49,$334.31,$320.71
09/02/2021,$328.53,2116020,$334.86,$341.7631,$326.66
09/01/2021,$332.50,2632182,$334.25,$336.50,$326.50
08/31/2021,$329.19,3327466,$340.26,$349.34,$327.10
08/30/2021,$345.00,3009981,$351.00,$360.33,$342.7893
08/27/2021,$358.48,2332610,$368.79,$370.32,$354.82
08/26/2021,$369.99,1927498,$371.00,$377.599,$366.01
08/25/2021,$376.03,2990633,$360.78,$376.5399,$351.00
08/24/2021,$368.20,4767514,$377.33,$379.9799,$354.20
08/23/2021,$382.10,6934470,$373.517,$388.00,$370.20
08/20/2021,$348.68,3978697,$336.35,$356.50,$333.00
08/19/2021,$331.81,4638911,$348.70,$355.30,$330.96
08/18/2021,$363.99,4801646,$368.46,$374.80,$347.03
08/17/2021,$366.27,8101604,$322.00,$366.9499,$320.00
08/16/2021,$343.10,7992458,$368.174,$369.84,$320.05
08/13/2021,$377.32,3690440,$387.14,$390.00,$367.30
08/12/2021,$374.02,7270135,$380.00,$391.57,$356.01
08/11/2021,$359.19,14583680,$413.90,$418.00,$336.20
08/10/2021,$416.50,8240516,$458.00,$464.00,$411.37
08/09/2021,$447.23,12022600,$408.23,$459.88,$403.55
08/06/2021,$389.01,5695188,$396.00,$403.15,$368.11
08/05/2021,$404.92,7334023,$406.50,$418.31,$375.10
08/04/2021,$414.44,13700470,$361.00,$433.90,$353.79
08/03/2021,$351.81,4139851,$341.01,$354.08,$336.80
08/02/2021,$340.21,5016335,$345.26,$353.64,$333.18
07/30/2021,$328.35,4033829,$315.01,$331.00,$308.24
07/29/2021,$312.59,4094224,$327.793,$328.70,$303.46
07/28/2021,$313.45,4880646,$289.00,$315.16,$282.50
07/27/2021,$284.00,4318824,$293.00,$296.46,$272.183
07/26/2021,$286.26,4025303,$289.50,$297.7299,$276.68
07/23/2021,$281.96,4456557,$287.033,$292.335,$267.03
07/22/2021,$280.98,5589757,$269.56,$283.92,$264.60
07/21/2021,$259.61,5335267,$244.95,$261.77,$242.07
07/20/2021,$245.17,6604938,$240.93,$252.56,$232.84
07/19/2021,$242.64,5147325,$228.00,$247.31,$226.41
07/16/2021,$231.47,5050038,$225.08,$233.2399,$222.35
07/15/2021,$221.08,2889285,$212.87,$222.179,$212.08
07/14/2021,$212.00,1525970,$207.93,$214.90,$204.68
07/13/2021,$207.84,1794644,$214.43,$214.43,$206.80
07/12/2021,$215.69,1091964,$217.373,$220.36,$214.505
07/09/2021,$217.40,2065349,$216.24,$217.60,$208.50
07/08/2021,$207.93,2013182,$195.67,$208.7408,$194.04
07/07/2021,$205.93,1427263,$211.50,$211.60,$203.00
07/06/2021,$213.50,2050982,$213.425,$216.43,$209.15
07/02/2021,$224.00,967823,$224.89,$227.00,$218.1301
07/01/2021,$224.00,944420,$224.50,$227.38,$220.103
06/30/2021,$223.88,1763867,$228.00,$230.9899,$221.27
06/29/2021,$228.06,1669930,$226.30,$231.97,$223.01
06/28/2021,$228.44,1508748,$230.56,$233.74,$222.75
06/25/2021,$230.02,1174974,$228.50,$231.90,$225.63
06/24/2021,$227.79,1553201,$231.10,$232.9699,$225.81
06/23/2021,$229.50,2707838,$233.88,$238.00,$219.7001
06/22/2021,$236.49,2032724,$228.2542,$236.5519,$227.80
06/21/2021,$226.09,1849836,$217.062,$226.68,$214.77
06/18/2021,$212.42,2256063,$211.91,$217.0997,$211.52
